date,ticker,factor
2017-01-03,0,15.84606479422411
2017-01-04,0,2.530974202264778
2017-01-05,0,-24.757923570127648
2017-01-06,0,0.4524486567493953
2017-01-07,0,-27.300278980793095
2017-01-10,0,-19.97621546064463
2017-01-11,0,-43.54383195065489
2017-01-12,0,
2017-01-13,0,3.944066614929203
2017-01-14,0,-64.58857936877789
2017-01-17,0,4.81418037285963
2017-01-18,0,-1.9428848269388035
2017-01-19,0,-9.065964465104459
2017-01-20,0,3.9998849022684815
2017-01-21,0,-16.020895666741765
2017-01-24,0,-34.57755740136692
2017-01-25,0,26.033974453757303
2017-01-26,0,70.9856113192262
2017-01-27,0,59.90799374685719
2017-01-28,0,-34.21621795014685
2017-01-31,0,-24.05596940848148
2017-02-01,0,-13.605081725056559
2017-02-02,0,32.00349013802375
2017-02-03,0,45.66589868733728
2017-02-04,0,45.78292862945784
2017-02-07,0,0.45619246058400253
2017-02-08,0,34.942526450447076
2017-02-09,0,19.4314437671839
2017-02-10,0,7.791734591896362
2017-02-11,0,-32.12763893305279
2017-02-14,0,22.748177651915125
2017-02-15,0,-37.97877798937601
2017-02-16,0,-46.64651740924168
2017-02-17,0,-0.1986592618459634
2017-02-18,0,-24.838574848979032
2017-02-21,0,-10.187709906676641
2017-02-22,0,69.28493565482142
2017-02-23,0,68.57655462653942
2017-02-24,0,28.435256069495917
2017-02-25,0,-29.463846799558166
2017-02-28,0,2.59536268486485
2017-03-01,0,-27.736421438678587
2017-03-02,0,0.519399528199815
2017-03-03,0,13.000767584315208
2017-03-04,0,-22.6889952138284
2017-03-07,0,-37.26807650545768
2017-03-08,0,16.337724390561327
2017-03-09,0,19.438178463256314
2017-03-10,0,-26.551771123327107
2017-03-11,0,20.32192722182463
2017-03-14,0,16.185095313822178
2017-03-15,0,30.22587385873076
2017-03-16,0,-28.429434018735098
2017-03-17,0,10.226303960796622
2017-03-18,0,28.713384350593724
2017-03-21,0,-8.267793281787934
2017-03-22,0,26.914248109341923
2017-03-23,0,-41.01422437675194
2017-03-24,0,9.43356733041602
